,TIMEHOME,,,,,TIMEWORK,,,,,TIMESHOP,,,,,TIMEOTHE,,,,,TIMETRAV
Value  Label,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases,,,Mean,Std Dev,Cases
AGE,923.2232,252.6334,3656,,,336.0845,276.2167,3656,,,13.922,46.1658,3656,,,97.4352,150.9923,3656,,,69.3351,65.0494,3656,,,=V4+Q4+L4+G4+B4
18-20,979.1818,244.9472,154,=(B6-B$4)/SQRT(C6^2/D6+C$4^2/D$4),,224.9545,254.5454,154,=(G6-G$4)/SQRT(H6^2/I6+H$4^2/I$4),,9.013,38.408,154,=(L6-L$4)/SQRT(M6^2/N6+M$4^2/N$4),,163.5909,186.3905,154,=(Q6-Q$4)/SQRT(R6^2/S6+R$4^2/S$4),,63.2597,78.5271,154,=(V6-V$4)/SQRT(W6^2/X6+W$4^2/X$4),,=V6+Q6+L6+G6+B6
21-25,925.0776,258.5142,438,=(B7-B$4)/SQRT(C7^2/D7+C$4^2/D$4),,317.1187,277.1764,438,=(G7-G$4)/SQRT(H7^2/I7+H$4^2/I$4),,13.6689,54.7555,438,=(L7-L$4)/SQRT(M7^2/N7+M$4^2/N$4),,118.5502,167.5537,438,=(Q7-Q$4)/SQRT(R7^2/S7+R$4^2/S$4),,65.5845,59.8922,438,=(V7-V$4)/SQRT(W7^2/X7+W$4^2/X$4),,=V7+Q7+L7+G7+B7
26-30,897.4852,250.1005,608,=(B8-B$4)/SQRT(C8^2/D8+C$4^2/D$4),,354.4868,279.4103,608,=(G8-G$4)/SQRT(H8^2/I8+H$4^2/I$4),,13.6661,50.4543,608,=(L8-L$4)/SQRT(M8^2/N8+M$4^2/N$4),,105.1974,158.5354,608,=(Q8-Q$4)/SQRT(R8^2/S8+R$4^2/S$4),,69.1645,59.7706,608,=(V8-V$4)/SQRT(W8^2/X8+W$4^2/X$4),,=V8+Q8+L8+G8+B8
31-35,913.3218,251.3167,609,=(B9-B$4)/SQRT(C9^2/D9+C$4^2/D$4),,344.578,276.0795,609,=(G9-G$4)/SQRT(H9^2/I9+H$4^2/I$4),,15.4335,50.6228,609,=(L9-L$4)/SQRT(M9^2/N9+M$4^2/N$4),,96.4417,149.1609,609,=(Q9-Q$4)/SQRT(R9^2/S9+R$4^2/S$4),,70.225,71.7943,609,=(V9-V$4)/SQRT(W9^2/X9+W$4^2/X$4),,=V9+Q9+L9+G9+B9
36-40,922.6126,257.6435,506,=(B10-B$4)/SQRT(C10^2/D10+C$4^2/D$4),,349.1719,275.1732,506,=(G10-G$4)/SQRT(H10^2/I10+H$4^2/I$4),,13.6542,35.9389,506,=(L10-L$4)/SQRT(M10^2/N10+M$4^2/N$4),,82.9822,139.6995,506,=(Q10-Q$4)/SQRT(R10^2/S10+R$4^2/S$4),,71.5791,65.6636,506,=(V10-V$4)/SQRT(W10^2/X10+W$4^2/X$4),,=V10+Q10+L10+G10+B10
41-45,931.6706,256.7581,425,=(B11-B$4)/SQRT(C11^2/D11+C$4^2/D$4),,333.8729,281.7207,425,=(G11-G$4)/SQRT(H11^2/I11+H$4^2/I$4),,13.7012,42.7135,425,=(L11-L$4)/SQRT(M11^2/N11+M$4^2/N$4),,91.5765,145.3355,425,=(Q11-Q$4)/SQRT(R11^2/S11+R$4^2/S$4),,69.1788,61.4968,425,=(V11-V$4)/SQRT(W11^2/X11+W$4^2/X$4),,=V11+Q11+L11+G11+B11
46-50,917.9457,249.4938,350,=(B12-B$4)/SQRT(C12^2/D12+C$4^2/D$4),,342.2829,271.6686,350,=(G12-G$4)/SQRT(H12^2/I12+H$4^2/I$4),,11.2486,33.3294,350,=(L12-L$4)/SQRT(M12^2/N12+M$4^2/N$4),,91.1429,143.9641,350,=(Q12-Q$4)/SQRT(R12^2/S12+R$4^2/S$4),,77.38,76.3928,350,=(V12-V$4)/SQRT(W12^2/X12+W$4^2/X$4),,=V12+Q12+L12+G12+B12
51-55,914.45,243.835,260,=(B13-B$4)/SQRT(C13^2/D13+C$4^2/D$4),,352.4038,272.9875,260,=(G13-G$4)/SQRT(H13^2/I13+H$4^2/I$4),,13.6731,36.1987,260,=(L13-L$4)/SQRT(M13^2/N13+M$4^2/N$4),,91.6269,150.0147,260,=(Q13-Q$4)/SQRT(R13^2/S13+R$4^2/S$4),,67.8462,53.5531,260,=(V13-V$4)/SQRT(W13^2/X13+W$4^2/X$4),,=V13+Q13+L13+G13+B13
56-60,961.7539,249.3848,191,=(B14-B$4)/SQRT(C14^2/D14+C$4^2/D$4),,335.9948,275.9689,191,=(G14-G$4)/SQRT(H14^2/I14+H$4^2/I$4),,18.7749,61.5341,191,=(L14-L$4)/SQRT(M14^2/N14+M$4^2/N$4),,58.8848,96.5393,191,=(Q14-Q$4)/SQRT(R14^2/S14+R$4^2/S$4),,64.5916,59.5194,191,=(V14-V$4)/SQRT(W14^2/X14+W$4^2/X$4),,=V14+Q14+L14+G14+B14
61-65,973.1043,239.363,115,=(B15-B$4)/SQRT(C15^2/D15+C$4^2/D$4),,309.8435,259.2969,115,=(G15-G$4)/SQRT(H15^2/I15+H$4^2/I$4),,17.4435,48.1803,115,=(L15-L$4)/SQRT(M15^2/N15+M$4^2/N$4),,74.2,129.8591,115,=(Q15-Q$4)/SQRT(R15^2/S15+R$4^2/S$4),,65.4087,57.3323,115,=(V15-V$4)/SQRT(W15^2/X15+W$4^2/X$4),,=V15+Q15+L15+G15+B15
