,Home,Work,Shop,Other,Travel
Main Effects,71228593.709,117467621.79,555816.784,6093225.937,355552.414
Gender,2385624.662,3021117.976,305994.072,20167.943,47334.018
Work-Status,55356276.489,96538834.291,98745.278,4980778.361,25845.535
Income,2029758.807,860639.517,94050.636,557623.922,234230.975
2-way Interactions,3192303.705,1331364.065,86601.931,1614217.912,168564.633
"Gender, Work-Status",108460.125,289035.959,4407.322,166969.491,17940.873
"Gender, Income",1730307.173,786719.536,53460.523,621067.974,95547.949
Work-Status-Income,1483754.937,174046.221,27409.625,986763.814,43754.737
3-way Interactions,611555.231,299656.985,20619.845,969287.38,72353.306
"Gender, Work-Status, Income",611555.231,299656.985,20619.845,969287.38,72353.306
Explained,75032452.644,119098642.84,663038.56,8676731.23,596470.352
Residual,465604961.528,480932280.913,25176674.684,196191210.155,31012519.9
Total,540637414.172,600030923.754,25839713.244,204867941.385,31608990.252
"Table: Variance Explained by Gender, Work-Status and Income"
,Home,Work,Shop,Other,Travel
Main Effects,=B2/B$19,=C2/C$19,=D2/D$19,=E2/E$19,=F2/F$19
Gender,=B3/B$19,=C3/C$19,=D3/D$19,=E3/E$19,=F3/F$19
Work-Status,=B4/B$19,=C4/C$19,=D4/D$19,=E4/E$19,=F4/F$19
Income,=B5/B$19,=C5/C$19,=D5/D$19,=E5/E$19,=F5/F$19
2-way Interactions,=B7/B$19,=C7/C$19,=D7/D$19,=E7/E$19,=F7/F$19
"Gender, Work-Status",=B8/B$19,=C8/C$19,=D8/D$19,=E8/E$19,=F8/F$19
"Gender, Income",=B9/B$19,=C9/C$19,=D9/D$19,=E9/E$19,=F9/F$19
Work-Status-Income,=B10/B$19,=C10/C$19,=D10/D$19,=E10/E$19,=F10/F$19
3-way Interactions,=B12/B$19,=C12/C$19,=D12/D$19,=E12/E$19,=F12/F$19
"Gender, Work-Status, Income",=B13/B$19,=C13/C$19,=D13/D$19,=E13/E$19,=F13/F$19
Explained,=B15/B$19,=C15/C$19,=D15/D$19,=E15/E$19,=F15/F$19
Residual,=B17/B$19,=C17/C$19,=D17/D$19,=E17/E$19,=F17/F$19
Total,=B19/B$19,=C19/C$19,=D19/D$19,=E19/E$19,=F19/F$19
